"filename", "language", "Markdown", "C#", "comment", "blank", "total"
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\Level_Data\LevelSystem.cs", "C#", 0, 10, 0, 0, 10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\MazeMapSystem.cs", "C#", 0, -65, -4, -11, -80
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\MazeMap\MazeMapSystem.cs", "C#", 0, 88, 6, 15, 109
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Tools\Extensions.cs", "C#", 0, 17, 6, 5, 28
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Coin.cs", "C#", 0, -48, 0, -11, -59
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Managers\GameManager.cs", "C#", 0, -13, 0, -1, -14
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\Coin.cs", "C#", 0, 49, 0, 10, 59
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\MazeMap\MazeMapTilemapController.cs", "C#", 0, 14, 0, 3, 17
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\MazeMap\TombstoneController.cs", "C#", 0, 46, 0, 9, 55
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\Player.cs", "C#", 0, 106, 3, 26, 135
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\Sun.cs", "C#", 0, 44, 0, 9, 53
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\ItemView\CardViewController.cs", "C#", 0, -54, 0, -8, -62
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\ItemView\CoinViewController.cs", "C#", 0, -13, 0, -2, -15
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\ItemView\PlantBookViewController.cs", "C#", 0, -21, 0, -4, -25
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\LevelStateBarPanelController.cs", "C#", 0, -58, -2, -10, -70
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\AwardPanelController.cs", "C#", 0, -76, -5, -15, -96
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\CardPanelController.cs", "C#", 0, -48, -2, -10, -60
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\CoinStorePanelController.cs", "C#", 0, -137, -12, -26, -175
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\CoinTradeNode.cs", "C#", 0, -12, 0, -1, -13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\InventoryPanelController.cs", "C#", 0, -38, 0, -8, -46
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\PlantBookPanelController.cs", "C#", 0, -38, -2, -9, -49
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\RecipeStorePanelController.cs", "C#", 0, -105, -11, -17, -133
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\RecipeTradeNode.cs", "C#", 0, -12, 0, -1, -13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\SellTradePanelController.cs", "C#", 0, -97, -6, -14, -117
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\MazeMap\StorePanelController.cs", "C#", 0, -29, 0, -5, -34
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\SeedController.cs", "C#", 0, -134, -4, -22, -160
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\SeedOptionController.cs", "C#", 0, -50, 0, -7, -57
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\ShovelController.cs", "C#", 0, -54, 0, -6, -60
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\UI\SunpointController.cs", "C#", 0, -24, 0, -8, -32
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Player.cs", "C#", 0, -106, -3, -26, -135
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Sun.cs", "C#", 0, -43, 0, -9, -52
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\ItemView\CardViewController.cs", "C#", 0, 54, 0, 8, 62
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\ItemView\CoinViewController.cs", "C#", 0, 13, 0, 2, 15
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\ItemView\PlantBookViewController.cs", "C#", 0, 21, 0, 4, 25
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\LevelScene\LevelStateBarPanelController.cs", "C#", 0, 58, 2, 10, 70
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\LevelScene\SeedController.cs", "C#", 0, 134, 4, 22, 160
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\LevelScene\SeedOptionController.cs", "C#", 0, 50, 0, 7, 57
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\LevelScene\ShovelController.cs", "C#", 0, 54, 0, 6, 60
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\LevelScene\SunpointController.cs", "C#", 0, 24, 0, 8, 32
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\AwardPanelController.cs", "C#", 0, 76, 5, 15, 96
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\CardPanelController.cs", "C#", 0, 48, 2, 10, 60
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\CoinStorePanelController.cs", "C#", 0, 137, 12, 26, 175
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\CoinTradeNode.cs", "C#", 0, 12, 0, 1, 13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\InventoryPanelController.cs", "C#", 0, 38, 0, 8, 46
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\PlantBookPanelController.cs", "C#", 0, 38, 2, 9, 49
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\RecipeStorePanelController.cs", "C#", 0, 105, 11, 17, 133
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\RecipeTradeNode.cs", "C#", 0, 12, 0, 1, 13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\SellTradePanelController.cs", "C#", 0, 97, 6, 14, 117
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\StorePanelController.cs", "C#", 0, 29, 0, 5, 34
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UIChooseSeedPanel.Designer.cs", "C#", 0, 44, 1, 8, 53
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UIChooseSeedPanel.cs", "C#", 0, 102, 7, 21, 130
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UIGameStartPanel.Designer.cs", "C#", 0, 38, 1, 8, 47
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UIGameStartPanel.cs", "C#", 0, 35, 1, 8, 44
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UILevelGameplayPanel.Designer.cs", "C#", 0, 47, 1, 8, 56
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UILevelGameplayPanel.cs", "C#", 0, 133, 4, 28, 165
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UIMazeMapPanel.Designer.cs", "C#", 0, 50, 1, 8, 59
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\Panels\UIMazeMapPanel.cs", "C#", 0, 45, 4, 11, 60
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UIChooseSeedPanel.Designer.cs", "C#", 0, -44, -1, -8, -53
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UIChooseSeedPanel.cs", "C#", 0, -102, -7, -21, -130
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UIGameStartPanel.Designer.cs", "C#", 0, -38, -1, -8, -47
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UIGameStartPanel.cs", "C#", 0, -35, -1, -8, -44
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UILevelGameplayPanel.Designer.cs", "C#", 0, -47, -1, -8, -56
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UILevelGameplayPanel.cs", "C#", 0, -133, -4, -28, -165
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UIMazeMapPanel.Designer.cs", "C#", 0, -50, -1, -8, -59
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\UIMazeMapPanel.cs", "C#", 0, -45, -4, -11, -60
"Total", "-", 10, 388, 15, 111, 524
