Date : 2025-07-28 23:53:08
Directory : d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts
Total : 101 files,  845 codes, 12 comments, 137 blanks, all 994 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| Classes\MazeMap                                                                                                                         |          4 |          8 |          2 |          0 |         10 |
| Classes\MazeMap (Files)                                                                                                                 |          3 |         14 |          2 |          2 |         18 |
| Classes\MazeMap\Controllers                                                                                                             |          1 |         -6 |          0 |         -2 |         -8 |
| Classes\ZombieAI                                                                                                                        |         12 |         68 |        -10 |          5 |         63 |
| Classes\ZombieAI\Class                                                                                                                  |          5 |         31 |         -2 |          1 |         30 |
| Classes\ZombieAI\PathFinding                                                                                                            |          3 |         16 |         -5 |          1 |         12 |
| Classes\ZombieAI\Public                                                                                                                 |          4 |         21 |         -3 |          3 |         21 |
| Classes\ZombieSpawner                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| CommandEvents                                                                                                                           |          3 |         -1 |          1 |          0 |          0 |
| CommandEvents\Level_Collectables                                                                                                        |          1 |         -1 |          0 |          0 |         -1 |
| CommandEvents\Level_Hand                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| CommandEvents\Level_Zombie                                                                                                              |          1 |         -1 |          1 |          0 |          0 |
| Docs                                                                                                                                    |          2 |         11 |          0 |          1 |         12 |
| Helpers                                                                                                                                 |         19 |         56 |          0 |          4 |         60 |
| Helpers (Files)                                                                                                                         |          2 |          0 |          0 |          0 |          0 |
| Helpers\ClassCreator                                                                                                                    |          4 |         41 |          2 |          6 |         49 |
| Helpers\ConfigReader                                                                                                                    |          8 |         -7 |          0 |         -3 |        -10 |
| Helpers\GameObjectFactory                                                                                                               |          3 |         16 |         -1 |          0 |         15 |
| Helpers\Methods                                                                                                                         |          2 |          6 |         -1 |          1 |          6 |
| Models                                                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| Systems                                                                                                                                 |          6 |         35 |          0 |          3 |         38 |
| Systems (Files)                                                                                                                         |          2 |          7 |          0 |         -1 |          6 |
| Systems\Level_Data                                                                                                                      |          1 |          6 |          0 |          2 |          8 |
| Systems\MazeMap                                                                                                                         |          3 |         22 |          0 |          2 |         24 |
| Tools                                                                                                                                   |          6 |         35 |          9 |          8 |         52 |
| Tools (Files)                                                                                                                           |          3 |         24 |          3 |          6 |         33 |
| Tools\Random                                                                                                                            |          1 |          6 |          6 |          2 |         14 |
| Tools\Save                                                                                                                              |          2 |          5 |          0 |          0 |          5 |
| ViewControllers                                                                                                                         |         26 |        526 |          9 |         97 |        632 |
| ViewControllers\Entities                                                                                                                |         19 |        469 |          4 |         82 |        555 |
| ViewControllers\Entities\Plants                                                                                                         |          7 |        170 |          0 |         31 |        201 |
| ViewControllers\Entities\Plants\Dave                                                                                                    |          1 |          1 |          0 |          1 |          2 |
| ViewControllers\Entities\Plants\General                                                                                                 |          2 |         37 |          0 |          4 |         41 |
| ViewControllers\Entities\Plants\PeaFamily                                                                                               |          1 |          1 |          0 |          0 |          1 |
| ViewControllers\Entities\Plants\PultFamily                                                                                              |          3 |        131 |          0 |         26 |        157 |
| ViewControllers\Entities\Projectiles                                                                                                    |          4 |        105 |          0 |         19 |        124 |
| ViewControllers\Entities\Zombies                                                                                                        |          8 |        194 |          4 |         32 |        230 |
| ViewControllers\Entities\Zombies (Files)                                                                                                |          1 |          1 |          0 |          0 |          1 |
| ViewControllers\Entities\Zombies\Base                                                                                                   |          1 |         98 |          4 |         11 |        113 |
| ViewControllers\Entities\Zombies\Instances                                                                                              |          3 |         95 |          0 |         20 |        115 |
| ViewControllers\Entities\Zombies\States                                                                                                 |          2 |          0 |          0 |          0 |          0 |
| ViewControllers\Entities\Zombies\View                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| ViewControllers\Entities\Zombies\View\Components                                                                                        |          1 |          0 |          0 |          1 |          1 |
| ViewControllers\Managers                                                                                                                |          2 |          2 |          0 |          0 |          2 |
| ViewControllers\Others                                                                                                                  |          3 |         55 |          5 |         15 |         75 |
| ViewControllers\Others\LevelScene                                                                                                       |          3 |         55 |          5 |         15 |         75 |
| ViewControllers\UI                                                                                                                      |          2 |          0 |          0 |          0 |          0 |
| ViewControllers\UI\LevelScene                                                                                                           |          1 |          0 |          0 |         -1 |         -1 |
| ViewControllers\UI\MazeMapScene                                                                                                         |          1 |          0 |          0 |          1 |          1 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ConfigLists\AttackDefinitionList.cs                             | C#       |         -6 |          0 |          0 |         -6 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ConfigLists\LevelDefinitionList.cs                              | C#       |         -6 |          0 |         -1 |         -7 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\Award\AwardData.cs                                  | C#       |         27 |          0 |          4 |         31 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\CoinTrade\CoinTradeData.cs                          | C#       |          4 |          0 |          1 |          5 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\Game\GameData.cs                                    | C#       |          6 |          0 |          2 |          8 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\GlobalEntityData.cs                                 | C#       |          6 |          0 |          1 |          7 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\Level\LevelData.cs                                  | C#       |         -5 |          0 |         -1 |         -6 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\Level\LevelDef.cs                                   | C#       |         27 |          1 |          7 |         35 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\Level\LevelDefinition.cs                            | C#       |         -2 |          0 |          0 |         -2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\Level\LevelId.cs                                    | C#       |          8 |          0 |          0 |          8 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses\Loot\LootData.cs                                    | C#       |          2 |          0 |          0 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Attack\AttackData.cs                        | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Attack\AttackDefinition.cs                  | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Attack\AttackId.cs                          | C#       |          2 |          0 |          0 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Cell\AllowedPlantingLocation.cs             | C#       |         13 |          0 |          3 |         16 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Cell\Cell.cs                                | C#       |          4 |          0 |          0 |          4 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Cell\TileState.cs                           | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Effect\EffectGroup.cs                       | C#       |          8 |          0 |          2 |         10 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\DataClasses_InLevel\Effect\EffectId.cs                          | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\InfoClasses\PlantId.cs                                          | C#       |          3 |          0 |          0 |          3 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\InfoClasses\ZombieId.cs                                         | C#       |          3 |          0 |          0 |          3 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\MazeMap\Controllers\DaveLawnController.cs                       | C#       |         -6 |          0 |         -2 |         -8 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\MazeMap\MazeMapController.cs                                    | C#       |          6 |          1 |          2 |          9 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\MazeMap\MazeMapData.cs                                          | C#       |          5 |          1 |          0 |          6 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\MazeMap\MazeMapDefinition.cs                                    | C#       |          3 |          0 |          0 |          3 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Class\Cluster.cs                                       | C#       |         15 |          3 |          1 |         19 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Class\Edge.cs                                          | C#       |         -1 |          0 |         -1 |         -2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Class\KeyEdge.cs                                       | C#       |          0 |          1 |          1 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Class\Path.cs                                          | C#       |         -4 |         -6 |         -3 |        -13 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Class\Vertex.cs                                        | C#       |         21 |          0 |          3 |         24 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\PathFinding\PathFindingAlgorithm.cs                    | C#       |          5 |          2 |          2 |          9 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\PathFinding\PathManager.cs                             | C#       |         -1 |          3 |          2 |          4 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\PathFinding\ZombieAIUnit.cs                            | C#       |         12 |        -10 |         -3 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Public\AITendency.cs                                   | C#       |         11 |         -1 |         -3 |          7 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Public\IZombiePath.cs                                  | C#       |          1 |         -1 |          3 |          3 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Public\MoveData.cs                                     | C#       |          7 |         -1 |          3 |          9 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieAI\Public\MoveType.cs                                     | C#       |          2 |          0 |          0 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Classes\ZombieSpawner\ZombieSpawnTask.cs                                | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\CommandEvents\Level_Collectables\SpawnSunFromPlantCommand.cs            | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\CommandEvents\Level_Hand\UseShovelCommand.cs                            | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\CommandEvents\Level_Zombie\OnZombieDeathCommand.cs                      | C#       |         -1 |          1 |          0 |          0 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Docs\SortingLayer.md                                                    | Markdown |          2 |          0 |          0 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Docs\待办事项.md                                                            | Markdown |          9 |          0 |          1 |         10 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ClassCreator\AwardCreator.cs                                    | C#       |         35 |          2 |          4 |         41 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ClassCreator\GameCreator.cs                                     | C#       |          2 |          0 |          0 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ClassCreator\LootCreator.cs                                     | C#       |          2 |          0 |          2 |          4 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ClassCreator\TradeCreator.cs                                    | C#       |          2 |          0 |          0 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\AttackConfigReader.cs                              | C#       |         -1 |          0 |         -1 |         -2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\EconomyConfigReader.cs                             | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\GameConfigReader.cs                                | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\LootPoolConfigReader.cs                            | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\PlantBookConfigReader.cs                           | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\PlantConfigReader.cs                               | C#       |          0 |          0 |         -1 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\RecipeConfigReader.cs                              | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\ConfigReader\ZombieArmorConfigReader.cs                         | C#       |         -1 |          0 |         -1 |         -2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\GameObjectFactory\EntityFactory.cs                              | C#       |         18 |         -1 |          2 |         19 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\GameObjectFactory\ItemViewFactory.cs                            | C#       |         -1 |          0 |         -2 |         -3 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\GameObjectFactory\ShitFactory.cs                                | C#       |         -1 |          0 |          0 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\Methods\Global.cs                                               | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\Methods\LevelMatrixHelper.cs                                    | C#       |          5 |         -1 |          1 |          5 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\SeedH.cs                                                        | C#       |        -24 |         -6 |         -6 |        -36 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Helpers\SeedHelper.cs                                                   | C#       |         24 |          6 |          6 |         36 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Models\LevelGridModel.cs                                                | C#       |          8 |          0 |          1 |          9 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\GameSystem.cs                                                   | C#       |          8 |          0 |          0 |          8 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\Level_Data\ZombieAISystem.cs                                    | C#       |          6 |          0 |          2 |          8 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\MazeMap\AwardSystem.cs                                          | C#       |          1 |         -1 |         -2 |         -2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\MazeMap\CoinStoreSystem.cs                                      | C#       |          0 |          1 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\MazeMap\RecipeStoreSystem.cs                                    | C#       |         21 |          0 |          4 |         25 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Systems\SaveSystem.cs                                                   | C#       |         -1 |          0 |         -1 |         -2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Tools\CollisionDetector.cs                                              | C#       |        -43 |         -4 |        -12 |        -59 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Tools\RandomPool.cs                                                     | C#       |         19 |          5 |          4 |         28 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Tools\Random\DeterministicRandom.cs                                     | C#       |          6 |          6 |          2 |         14 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Tools\Save\AwardSaveData.cs                                             | C#       |          3 |          0 |          0 |          3 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Tools\Save\GameDataSave.cs                                              | C#       |          2 |          0 |          0 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\Tools\TriggerDetector.cs                                                | C#       |         48 |          2 |         14 |         64 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Plants\Dave\BonkChoy.cs                        | C#       |          1 |          0 |          1 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Plants\General\LilyPad.cs                      | C#       |         36 |          0 |          3 |         39 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Plants\General\Squash.cs                       | C#       |          1 |          0 |          1 |          2 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Plants\PeaFamily\SniperPea.cs                  | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Plants\PultFamily\CabbagePult.cs               | C#       |          7 |          0 |          2 |          9 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Plants\PultFamily\KernelPult.cs                | C#       |         76 |          0 |         14 |         90 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Plants\PultFamily\MelonPult.cs                 | C#       |         48 |          0 |         10 |         58 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Projectiles\Butter.cs                          | C#       |         31 |          0 |          6 |         37 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Projectiles\Cabbage.cs                         | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Projectiles\Kernel.cs                          | C#       |         32 |          0 |          6 |         38 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Projectiles\Melon.cs                           | C#       |         41 |          0 |          7 |         48 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\Base\Zombie.cs                         | C#       |         98 |          4 |         11 |        113 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\Instances\DuckyTubeBucketHeadZombie.cs | C#       |         35 |          0 |          8 |         43 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\Instances\DuckyTubeConeheadZombie.cs   | C#       |         36 |          0 |          8 |         44 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\Instances\DuckyTubeNormalZombie.cs     | C#       |         24 |          0 |          4 |         28 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\States\FrozenState.cs                  | C#       |        -27 |          0 |         -4 |        -31 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\States\StunnedState.cs                 | C#       |         27 |          0 |          4 |         31 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\View\Components\ZombieComponentView.cs | C#       |          0 |          0 |          1 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Entities\Zombies\ZombieNode.cs                          | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Managers\SomeInputController.cs                         | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Managers\TestDataManager.cs                             | C#       |          1 |          0 |          0 |          1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\LevelScene\LevelTilemapController.cs             | C#       |        -20 |          0 |         -3 |        -23 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\LevelScene\LevelTilemapNode.cs                   | C#       |         24 |          0 |          7 |         31 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\Others\LevelScene\SoyoWaterEffector.cs                  | C#       |         51 |          5 |         11 |         67 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\LevelScene\LevelStateBarPanelController.cs           | C#       |          0 |          0 |         -1 |         -1 |
| d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts\ViewControllers\UI\MazeMapScene\RecipeStorePanelController.cs           | C#       |          0 |          0 |          1 |          1 |
| Total                                                                                                                                   |          |        845 |         12 |        137 |        994 |
+-----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
